"Product Name","Collection Name","Serial No","Fabric Type","Stock","PO Pending Qty"
"ATHENA-474261-503-S-RG2504054","SOLACE","5615","-","1","0"
"BATIK-38125-182-MEDIUM(120X170CMS)-RG2703816","RUGS","208","-","1","300"
"ORION-475317-120-LARGE(160X230CMS)-RG2705956","RUGS 2024","4228","-","1","300"
"BLOOM-466140-AK990-MEDIUM(120X170CMS)-RG2703856","RUGS 2021","1698","-","1","0"
"EDEN-66514-99-MEDIUM(120X170CMS)-RG2704813","RUGS","80","-","1","0"
"PILLOW COVER P002-CLOUD GREY PILLOW 68X4-MU1300686","SANSAAR PLAINS","12","-","1","4"
"BED SHEET SET ER 113-FABIA-SAND KING 274-MU1300488","CHARM","7","-","1","4"
"COMFORTER CDQ08-RUSKIN-WARM SAND DOUBLE-MU1301508","SIMPLY ORGANIC","31","-","1","4"
"CHARM-474221-JD000-SMALL(80X140CMS)-RG2504538","RUGS 2022","1819","-","1","0"
"SHUFFLE-58243-32-LARGE(160X230CMS)-RG2705271","RUGS 2021","1235","-","1","0"
"GALAXY-5998-DG1-Z-DOUBLE XL(240X340CMS)-RG2504780","RUGS 2022","2015","-","1","0"
"BED SHEET SET ER 121-GLIDE-ROASTED ALMON-MU1301289","CHARM II","7","-","1","4"
"SAMPLE.CUBIS-81-GB4 W-L-RG2706118","RUGS SAMPLE","9","-","1","0"
"CHARM-473224-AK700-EXTRA LARGE(200X290CM-RG2504387","RUGS 2022","2948","-","1","0"
"AERIAL-912874-A8S B-S-RG2705794","NOVA","5151","-","1","0"
"DUVET SET P0034-CELESTE-PEARLED IVORY DO-MU1300226","ORIGINS","58","-","1","4"
"ORSO-5341C00-LIGHT BEIGE-BROWN-XL-RG2506697","SOLACE","5579","-","1","0"
"ROSSINI-3-BO1-H-DOUBLE XL(240X340CMS)-RG2505624","RUGS 2021","1531","-","1","0"
"MINERAL-50507-YT5 B-XXL-RG2706371","BROADWAY","6133","-","1","0"
"HIGHFIELD-620-OV1-P-LARGE(160X230CMS)-RG2704717","RUGS 2021","1409","-","1","0"
"EVA-3286C00-CC-CASTLE-STERLING-XXL-RG2504705","RUGS 2024","4401","-","1","0"
"BEDDING GIFT SET BGS 043-SPINDLE-SAND DO-MU1301740","AMARA","25","-","1","4"
"SAMPLE.DECO-4047C00-CASTLE /  DARK BEIGE-RG2706123","RUGS SAMPLE","14","-","1","0"
"BATIK-38112-232-MEDIUM(120X170CMS)-RG2703800","RUGS","184","-","1","0"
"OMEGA-912830-OJ8 O-S-RG2506593","RUGS 2024","4742","-","1","0"
"AKARA-520-NQ2 1-XL-RG2506460","NOVA","5214","-","1","0"
"GRACE-39495-763-MEDIUM(120X170CMS)-RG2704491","RUGS 2021","1046","-","1","0"
"STELLAR-568-DW6-R-DOUBLE XL(240X340CMS)-RG2506076","RUGS 2022","2130","-","1","0"
"REFLEX-40268-30-EXTRA LARGE(200X290CMS)-RG2505411","RUGS 2021","1162","-","1","0"
"EVA-3384C00-CC-BRICH-BEIGE-XL-RG2504815","RUGS 2024","4425","-","1","0"
"DUVET COVER P009-BLUE OPAL DOUBLE 228X27-MU1300935","SANSAAR PLAINS","143","-","1","4"
"ORBIT-27001-YR9 W-M-RG2705753","SOLACE","5377","-","1","0"
"PILLOW COVER P002-ELSA-WHITE PILLOW COVE-MU1303256","SANSAAR PLAINS II","89","-","1","0"
"SAPPHIRE-71351-56-EXTRA LARGE(200X290CMS-RG2505772","RUGS 2022","2708","-","1","0"
"DECO-3541C00-POL.  WHITE  - DARK GOLD-XX-RG2706243","BROADWAY","6005","-","1","0"
"BED SHEET SET EB 341-FAIRLIGHT-CHALK KIN-MU1301350","ENCHANTED II","22","-","1","4"
"SAMPLE.OMEGA-85111-YR9 Q-L-RG2706217","RUGS SAMPLE","108","-","1","0"
"OPUS-54252-50-EXTRA LARGE(200X290CMS)-RG2506346","RUGS 2021","1070","-","1","0"
"SAPPHIRE-71351-90-DOUBLE XL(240X340CMS)-RG2505808","RUGS 2022","2754","-","1","0"
"CHARM-473216-AK992-DOUBLE XL(240X330CMS)-RG2504374","RUGS 2022","2634","-","1","0"
"TAMPA-410299-52991-M-RG2705523","SOLACE","5742","-","1","0"
"CHARM-474221-JD630-XL-RG2504549","RUGS 2022","1827","-","1","0"
"CHARM-474285-JD620 - OVAL-OVAL(O 230CMS)-RG2703992","RUGS 2024","4109","-","1","0"
"BED SHEET SET JQD137-IMPERIA-SILVER DROP-MU1302462","JACQUARD ESSENTIALS-THE COLOUR EDIT","41","-","1","0"
"BED SHEET SET P0035-SCROLLIS-CHOCOLATE C-MU1300451","ORIGINS","223","-","1","4"
"DECO-5676C00-CD-POL. WHITE-TAUPE-S-RG2504661","RUGS 2024","4472","-","1","0"
"RUVO-53006-D1J W-L-RG2705140","SOLACE","5438","-","1","0"
"ATHENA-474713-JD00-O 230-RG2703730","SOLACE","5756","-","1","0"
"OMEGA-31034-OJ8 X-DOUBLE XL(240X340CMS)-RG2505926","RUGS 2024","4326","-","1","0"
"ONDINE-12420-28120-XXL-RG2506091","SOLACE","5709","-","1","300"
"BEDDING GIFT SET BGS08-KNIGHT-MOCHA-SNOW-MU1301619","THE BEDDING LOOKBOOK","8","-","1","4"
"OPAL-71301-80A-EXTRA LARGE(200X290CMS)-RG2506206","RUGS 2022","2853","-","1","0"
"EMBROIDERY BED SPREAD CQ23-MERIDIAN-GRIF-MU1300422","BESPOKE BEDDING","22","-","1","4"
"DECO-7475C00-DARK  BEIGE - BRICH-XXL-RG2706343","BROADWAY","6105","-","1","0"
"EMBROIDERY BED SPREADCQ 64-HIVE-GRIFFIND-MU1303549","BESPOKE II","38","-","1","0"
"ORBIT-912523-OJ8 E-XL-RG2506671","NOVA","5264","-","1","0"
"TAMPA-410715-002-O 230-RG2705529","SOLACE","5777","-","1","0"
"TAMPA-410162-001-D 160-RG2705506","SOLACE","5734","-","1","0"
"TESSERA-5570-E8D W-S-RG2705998","NOVA","5181","-","1","0"
"LUX-71381-55-MEDIUM(120X170CMS)-RG2705011","RUGS","124","-","1","0"
"ZEAL-35003-XJ7 W-MEDIUM(120X180CMS)-RG2705769","RUGS 2023","3132","-","1","0"
"OMEGA-45001-OJ8 L-XXL-RG2506621","RUGS 2024","4686","-","1","0"
"BED SHEET SET EB345 MIRAI-OYSTER KING-MU1302383","ENCHANTED III","2","-","1","0"
"BED SHEET SET PBD 033-VALLEY-DRIED SAGE-MU1302520","IMPRESSIONS","45","-","1","0"
"SAMPLE.OMEGA-30030-YR9 B-L-RG2706193","RUGS SAMPLE","84","-","1","0"
"DUVET COVER SET P0038-PRISTINE-TAUPE GRE-MU1300419","ORIGINS","207","-","1","4"
"ADINA-65008-C9F X-XXL-RG2504009","SOLACE","5285","-","1","0"
"CHARM-474268-JD600-MEDIUM(120X170CMS)-RG2704327","RUGS 2024","4086","-","1","0"
"EVA-3369C00-CC-DARK GREY-CASTLE-L-RG2704317","RUGS 2024","4409","-","1","0"
"DUVET COVER SET P0038-PRISTINE-ASH DOUBL-MU1300359","ORIGINS","177","-","1","4"
"DUVET SET TOB027-OTHELLO-MOCHA DOUBLE 22-MU1301119","LUXE LAYERS","54","-","1","4"
"COMFORTER-350 GSM CDQ 021-FURROW-MARSH M-MU1302470","MOMENTS","169","-","1","0"
"SIERRA-45606-200-SMALL(80X140CMS)-RG2505852","RUGS","252","-","1","0"
"CLEO-410303-620 -OVAL-O 230CMS-RG2704072","RUGS 2024","4178","-","1","0"
"OCTAVE-528-SI4 Y-MEDIUM(120X180CMS)-RG2705187","RUGS 2023","3392","-","1","0"
